"id","DateTime","DateTimeDigitized","DateTimeOriginal","ExifVersion","ExposureBias","FNumber","Flash","FocalLength","GPSAltitude","GPSAltitudeRef","GPSDateStamp","GPSInfo","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","GPSProcessingMethod","GPSTimeStamp","ISO","brightnessValue","compressedBitsPerPixel","contrast","digitalZoomRatio","exposureProgram","exposureTime","focalLengthIn35mmFilm","gPanoCaptureSoftware","gPanoCroppedAreaImageHeightPixels","gPanoCroppedAreaImageWidthPixels","gPanoCroppedAreaLeftPixels","gPanoCroppedAreaTopPixels","gPanoFullPanoHeightPixels","gPanoFullPanoWidthPixels","gPanoLargestValidInteriorRectHeight","gPanoLargestValidInteriorRectLeft","gPanoLargestValidInteriorRectTop","gPanoLargestValidInteriorRectWidth","gPanoNorthPosInX","gPanoProjectionType","gPanoStitchingSoftware","gPanoUsePanoramaViewer","lightSource","make","maxApertureValue","meteringMode","model","pixelXDimension","pixelYDimension","resolutionUnit","saturation","sharpness","whiteBalance","xResolution","yResolution","Orientation"
"1","2014-06-17 19:00:44","","","","","","","","","","2014-06-17 08:00:00","310","22.70442","N","113.54012388888889","E","","","","","","","","","","","","3584","7168","0","0","3584","7168","3584","0","0","7168","","equirectangular","","True","","HTC","","","HTC One","7168","3584","","","","","","","0"
"2","2013-09-18 20:42:14","","","","","","","","","","2013-09-18 08:00:00","226","31.194006944444446","N","121.32374777777777","E","","","","","","","","","","","","2000","4000","0","0","2000","4000","2000","0","0","4000","","equirectangular","","True","","HTC","","","HTC One","4000","2000","","","","","","","0"
"3","2014-06-24 19:56:08","2014-06-21 12:32:09","2014-06-21 12:32:09","0220","0","2","0","3.82","20.1","0","2014-06-21 08:00:00","960","22.991939527777777","N","113.26489255555556","E","ASCII","","100","6.643823","15161808/4085760 (3.711)","0","0","2","0.00125","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"4","2014-06-24 19:56:09","2014-06-21 14:33:37","2014-06-21 14:33:37","0220","0","2","0","3.82","26.399","0","2014-06-21 08:00:00","960","22.535545333333335","N","113.92371366666667","E","ASCII","","125","9.58493","17932896/4085760 (4.389)","0","0","2","0.00013","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"5","2014-06-24 19:56:10","2014-06-21 14:33:47","2014-06-21 14:33:47","0220","0","2","0","3.82","26.399","0","2014-06-21 08:00:00","960","22.535545333333335","N","113.92371366666667","E","ASCII","","125","7.819395","17392736/4085760 (4.257)","0","0","2","0.000442","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"6","2014-06-24 19:56:13","2014-06-21 15:47:07","2014-06-21 15:47:06","0220","0","2","0","3.82","53.7","0","2014-06-21 08:00:00","960","22.54351425","N","113.93021391666667","E","ASCII","","125","4.431123","12351176/4085760 (3.023)","0","0","2","0.004635","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"7","2014-06-24 19:56:14","2014-06-21 15:47:44","2014-06-21 15:47:44","0220","0","2","0","3.82","53.7","0","2014-06-21 08:00:00","960","22.54351425","N","113.93021391666667","E","ASCII","","125","8.584929","15378552/4085760 (3.764)","0","0","2","0.00026","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"8","2014-06-21 15:40:51","2014-06-21 15:40:51","2014-06-21 15:40:51","0220","0","2","0","3.82","14.399","0","2014-06-21 08:00:00","1462","22.543531416666667","N","113.92852019444445","E","ASCII","","125","8.906857","18819912/4085760 (4.606)","0","0","2","0.000208","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"9","2014-06-24 19:56:09","2014-06-21 13:55:24","2014-06-21 13:55:24","0220","0","2","0","3.82","14.3","0","2014-06-21 08:00:00","960","22.585369083333333","N","113.9592361388889","E","ASCII","","125","8.584929","20215240/4085760 (4.948)","0","0","2","0.00026","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"10","2014-06-24 19:56:14","2014-06-21 15:48:53","2014-06-21 15:48:53","0220","0","2","0","3.82","35.7","0","2014-06-21 08:00:00","960","22.543687805555557","N","113.92955016666667","E","ASCII","","125","6.906857","13218552/4085760 (3.235)","0","0","2","0.000833","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"11","2014-06-24 19:56:15","2014-06-21 16:00:07","2014-06-21 16:00:06","0220","0","2","0","3.82","199.3","0","2014-06-21 08:00:00","960","22.543865194444447","N","113.93053436111111","E","ASCII","","160","1.380788","11330600/4085760 (2.773)","0","0","2","0.03","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"12","2014-06-24 19:56:10","2014-06-21 15:03:28","2014-06-21 15:03:28","0220","0","2","0","3.82","28.5","0","2014-06-21 08:00:00","960","22.53882216666667","N","113.92271422222223","E","ASCII","","125","7.447426","23103728/4085760 (5.655)","0","0","2","0.000572","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"13","2014-06-24 19:56:00","","2014-06-21 11:57:40","0220","","","","","","","2014-06-21 08:00:00","408","23.0672","N","113.29455388888888","E","","","","","","","","","","","","3584","7168","0","0","3584","7168","3584","0","0","7168","","equirectangular","","True","","HTC","","","HTC One","7168","3584","","","","","","","0"
"14","2014-06-24 19:56:01","","2014-06-21 11:58:08","0220","","","","","","","2014-06-21 08:00:00","408","23.0672","N","113.29455388888888","E","","","","","","","","","","","","","","","","","","","","","","","","","","","HTC","","","HTC One","6304","1775","","","","","","","0"
